"x","M","I","S","L","U"
252.4,37.5018281071022,26.0617022596106,36.4364696332871,0,0
252.5,37.5154930140608,26.0626090259764,36.4218979599628,0,0
252.6,37.5291534526456,26.0635144332122,36.4073321141422,0,0
252.7,37.5428094231499,26.0644184833553,36.3927720934948,0,0
252.8,37.5564609258693,26.0653211784397,36.378217895691,0,0
252.9,37.5701079611013,26.0662225204965,36.3636695184021,0,0
253,37.5837505291458,26.0671225115537,36.3491269593005,0,0
253.1,37.5973886303044,26.0680211536363,36.3345902160593,0,0
253.2,37.6110222648812,26.0689184487663,36.3200592863525,0,0
253.3,37.6246514331821,26.0698143989625,36.3055341678554,0,0
253.4,37.6382761355154,26.0707090062409,36.2910148582437,0,0
253.5,37.6518963721912,26.0716022726142,36.2765013551946,0,0
253.6,37.6655121435219,26.0724942000925,36.2619936563857,0,0
253.7,37.6791234498218,26.0733847906824,36.2474917594959,0,0
253.8,37.6927302914074,26.0742740463879,36.2329956622048,0,0
253.9,37.7063326685972,26.0751619692097,36.2185053621931,0,0
254,37.7199305817119,26.0760485611457,36.2040208571424,0,0
254.1,37.7335240310743,26.0769338241907,36.1895421447351,0,0
254.2,37.7471130170089,26.0778177603366,36.1750692226545,0,0
254.3,37.7606975398427,26.0787003715721,36.1606020885852,0,0
254.4,37.7742775999045,26.0795816598833,36.1461407402123,0,0
254.5,37.7878531975251,26.080461627253,36.1316851752219,0,0
254.6,37.8014243330377,26.081340275661,36.1172353913013,0,0
254.7,37.8149910067772,26.0822176070845,36.1027913861384,0,0
254.8,37.8285532190806,26.0830936234973,36.0883531574222,0,0
254.9,37.842110970287,26.0839683268705,36.0739207028425,0,0
255,37.8556642607375,26.0848417191722,36.0594940200903,0,0
255.1,37.8692130907753,26.0857138023675,36.0450731068572,0,0
255.2,37.8827574607455,26.0865845784187,36.0306579608359,0,0
255.3,37.8962973709953,26.0874540492849,36.0162485797199,0,0
255.4,37.9098328218738,26.0883222169224,36.0018449612037,0,0
255.5,37.9233638137324,26.0891890832847,35.9874471029829,0,0
255.6,37.9368903469242,26.0900546503222,35.9730550027536,0,0
255.7,37.9504124218043,26.0909189199825,35.9586686582132,0,0
255.8,37.9639300387301,26.09178189421,35.9442880670599,0,0
255.9,37.9774431980606,26.0926435749466,35.9299132269928,0,0
256,37.9909519001572,26.0935039641309,35.9155441357118,0,0
256.1,38.004456145383,26.094363063699,35.901180790918,0,0
256.2,38.0179559341031,26.0952208755837,35.8868231903132,0,0
256.3,38.0314512666847,26.0960774017151,35.8724713316002,0,0
256.4,38.0449421434969,26.0969326440204,35.8581252124826,0,0
256.5,38.0584285649108,26.097786604424,35.8437848306652,0,0
256.6,38.0719105312994,26.0986392848472,35.8294501838534,0,0
256.7,38.0853880430377,26.0994906872085,35.8151212697538,0,0
256.8,38.0988611005028,26.1003408134236,35.8007980860736,0,0
256.9,38.1123297040735,26.1011896654053,35.7864806305212,0,0
257,38.1257938541307,26.1020372450636,35.7721689008057,0,0
257.1,38.1392535510573,26.1028835543054,35.7578628946374,0,0
257.2,38.1527087952379,26.1037285950349,35.7435626097272,0,0
257.3,38.1661595870594,26.1045723691536,35.7292680437871,0,0
257.4,38.1796059269103,26.1054148785598,35.7149791945299,0,0
257.5,38.1930478151812,26.1062561251493,35.7006960596695,0,0
257.6,38.2064852522646,26.1070961108148,35.6864186369206,0,0
257.7,38.219918238555,26.1079348374464,35.6721469239987,0,0
257.8,38.2333467744486,26.108772306931,35.6578809186204,0,0
257.9,38.2467708603437,26.1096085211532,35.6436206185031,0,0
258,38.2601904966406,26.1104434819943,35.6293660213652,0,0
258.1,38.2736056837412,26.111277191333,35.6151171249259,0,0
258.2,38.2870164220495,26.1121096510451,35.6008739269054,0,0
258.3,38.3004227119714,26.1129408630037,35.5866364250249,0,0
258.4,38.3138245539147,26.113770829079,35.5724046170062,0,0
258.5,38.3272219482891,26.1145995511385,35.5581785005724,0,0
258.6,38.3406148955061,26.1154270310467,35.5439580734472,0,0
258.7,38.3540033959791,26.1162532706655,35.5297433333554,0,0
258.8,38.3673874501236,26.1170782718539,35.5155342780225,0,0
258.9,38.3807670583565,26.1179020364682,35.5013309051753,0,0
259,38.3941422210971,26.1187245663619,35.4871332125411,0,0
259.1,38.4075129387663,26.1195458633856,35.4729411978482,0,0
259.2,38.4208792117868,26.1203659293872,35.458754858826,0,0
259.3,38.4342410405833,26.121184766212,35.4445741932047,0,0
259.4,38.4475984255825,26.1220023757022,35.4303991987153,0,0
259.5,38.4609513672125,26.1228187596976,35.4162298730899,0,0
259.6,38.4742998659037,26.123633920035,35.4020662140613,0,0
259.7,38.4876439220882,26.1244478585484,35.3879082193634,0,0
259.8,38.5009835361998,26.1252605770693,35.3737558867309,0,0
259.9,38.5143187086743,26.1260720774263,35.3596092138994,0,0
260,38.5276494399494,26.1268823614452,35.3454681986054,0,0
260.1,38.5409757304643,26.1276914309492,35.3313328385864,0,0
260.2,38.5542975806605,26.1284992877587,35.3172031315808,0,0
260.3,38.5676149909809,26.1293059336914,35.3030790753277,0,0
260.4,38.5809279618704,26.1301113705622,35.2889606675674,0,0
260.5,38.5942364937758,26.1309156001833,35.2748479060409,0,0
260.6,38.6075405871456,26.1317186243643,35.2607407884901,0,0
260.7,38.6208402424301,26.132520444912,35.2466393126578,0,0
260.8,38.6341354600815,26.1333210636305,35.232543476288,0,0
260.9,38.6474262405536,26.1341204823212,35.2184532771252,0,0
261,38.6607125843024,26.1349187027827,35.204368712915,0,0
261.1,38.6739944917851,26.135715726811,35.1902897814038,0,0
261.2,38.6872719634613,26.1365115561996,35.1762164803391,0,0
261.3,38.700544999792,26.1373061927389,35.1621488074691,0,0
261.4,38.7138136012401,26.1380996382169,35.148086760543,0,0
261.5,38.7270777682703,26.1388918944188,35.1340303373109,0,0
261.6,38.740337501349,26.1396829631274,35.1199795355237,0,0
261.7,38.7535928009444,26.1404728461223,35.1059343529332,0,0
261.8,38.7668436675267,26.141261545181,35.0918947872924,0,0
261.9,38.7800901015674,26.1420490620779,35.0778608363548,0,0
262,38.7933321035401,26.1428353985849,35.063832497875,0,0
262.1,38.8065696739201,26.1436205564714,35.0498097696084,0,0
262.2,38.8198028131845,26.1444045375039,35.0357926493116,0,0
262.3,38.833031521812,26.1451873434465,35.0217811347416,0,0
262.4,38.8462558002831,26.1459689760603,35.0077752236566,0,0
262.5,38.8594756490801,26.1467494371041,34.9937749138158,0,0
262.6,38.8726910686871,26.1475287283339,34.979780202979,0,0
262.7,38.8859020595897,26.1483068515031,34.9657910889072,0,0
262.8,38.8991086222755,26.1490838083625,34.951807569362,0,0
262.9,38.9123107572337,26.1498596006603,34.9378296421061,0,0
263,38.9255084649551,26.1506342301419,34.923857304903,0,0
263.1,38.9387017459325,26.1514076985504,34.9098905555171,0,0
263.2,38.9518906006602,26.1521800076259,34.8959293917138,0,0
263.3,38.9650750296344,26.1529511591063,34.8819738112593,0,0
263.4,38.9782550333528,26.1537211547266,34.8680238119206,0,0
263.5,38.9914306123149,26.1544899962192,34.8540793914659,0,0
263.6,39.004601767022,26.1552576853141,34.8401405476639,0,0
263.7,39.0177684979769,26.1560242237386,34.8262072782845,0,0
263.8,39.0309308056843,26.1567896132174,34.8122795810983,0,0
263.9,39.0440886906505,26.1575538554725,34.798357453877,0,0
264,39.0572421533834,26.1583169522237,34.7844408943929,0,0
264.1,39.0703911943929,26.1590789051878,34.7705299004194,0,0
264.2,39.0835358141901,26.1598397160792,34.7566244697308,0,0
264.3,39.0966760132882,26.1605993866097,34.7427246001021,0,0
264.4,39.1098117922018,26.1613579184887,34.7288302893095,0,0
264.5,39.1229431514475,26.1621153134227,34.7149415351298,0,0
264.6,39.1360700915432,26.162871573116,34.7010583353408,0,0
264.7,39.1491926130086,26.1636266992701,34.6871806877212,0,0
264.8,39.1623107163652,26.1643806935841,34.6733085900506,0,0
264.9,39.1754244021361,26.1651335577545,34.6594420401095,0,0
265,39.1885336708458,26.1658852934751,34.6455810356791,0,0
265.1,39.2016385230208,26.1666359024374,34.6317255745418,0,0
265.2,39.214738959189,26.1673853863303,34.6178756544807,0,0
265.3,39.2278349798802,26.1681337468401,34.6040312732797,0,0
265.4,39.2409265856255,26.1688809856506,34.5901924287238,0,0
265.5,39.254013776958,26.1696271044432,34.5763591185988,0,0
265.6,39.2670965544122,26.1703721048965,34.5625313406913,0,0
265.7,39.2801749185243,26.1711159886868,34.5487090927889,0,0
265.8,39.293248869832,26.1718587574879,34.5348923726801,0,0
265.9,39.306318408875,26.172600412971,34.521081178154,0,0
266,39.3193835361941,26.1733409568048,34.5072755070011,0,0
266.1,39.3324442523321,26.1740803906556,34.4934753570123,0,0
266.2,39.3455005578334,26.174818716187,34.4796807259796,0,0
266.3,39.3585524532437,26.1755559350603,34.4658916116959,0,0
266.4,39.3715999391107,26.1762920489343,34.452108011955,0,0
266.5,39.3846430159834,26.1770270594652,34.4383299245514,0,0
266.6,39.3976816844126,26.1777609683068,34.4245573472807,0,0
266.7,39.4107159449505,26.1784937771103,34.4107902779392,0,0
266.8,39.4237457981511,26.1792254875246,34.3970287143242,0,0
266.9,39.43677124457,26.1799561011961,34.3832726542339,0,0
267,39.4497922847641,26.1806856197686,34.3695220954673,0,0
267.1,39.4628089192921,26.1814140448835,34.3557770358243,0,0
267.2,39.4758211487144,26.1821413781799,34.3420374731057,0,0
267.3,39.4888289735927,26.1828676212941,34.3283034051132,0,0
267.4,39.5018323944904,26.1835927758603,34.3145748296493,0,0
267.5,39.5148314119726,26.18431684351,34.3008517445174,0,0
267.6,39.5278260266057,26.1850398258724,34.2871341475219,0,0
267.7,39.5408162389578,26.1857617245742,34.273422036468,0,0
267.8,39.5538020495987,26.1864825412397,34.2597154091616,0,0
267.9,39.5667834590996,26.1872022774907,34.2460142634098,0,0
268,39.5797604680331,26.1879209349466,34.2323185970203,0,0
268.1,39.5927330769737,26.1886385152244,34.2186284078019,0,0
268.2,39.6057012864972,26.1893550199387,34.2049436935641,0,0
268.3,39.6186650971811,26.1900704507016,34.1912644521173,0,0
268.4,39.6316245096043,26.1907848091228,34.1775906812729,0,0
268.5,39.6445795243473,26.1914980968096,34.1639223788432,0,0
268.6,39.6575301419921,26.1922103153669,34.150259542641,0,0
268.7,39.6704763631222,26.1929214663972,34.1366021704805,0,0
268.8,39.6834181883229,26.1936315515007,34.1229502601764,0,0
268.9,39.6963556181807,26.1943405722749,34.1093038095444,0,0
269,39.7092886532837,26.1950485303152,34.0956628164011,0,0
269.1,39.7222172942216,26.1957554272145,34.0820272785639,0,0
269.2,39.7351415415855,26.1964612645633,34.0683971938512,0,0
269.3,39.7480613959681,26.1971660439498,34.0547725600821,0,0
269.4,39.7609768579637,26.1978697669597,34.0411533750766,0,0
269.5,39.7738879281679,26.1985724351763,34.0275396366558,0,0
269.6,39.7867946071779,26.1992740501808,34.0139313426414,0,0
269.7,39.7996968955924,26.1999746135516,34.000328490856,0,0
269.8,39.8125947940115,26.2006741268651,33.9867310791233,0,0
